Factura,Emision,Vencimiento,Razon Social,Neto,Importe Total
A 0003-00027640,2025-10-23,2025-10-23,Faraday S A I C F,"$2.558.500,00","$3.095.785,00"
A 0003-00027658,2025-10-24,2025-10-24,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027674,2025-10-27,2025-10-27,Termoplasticos Del Sur Sa,"$876.000,00","$1.059.960,00"
A 0003-00027675,2025-10-27,2025-10-27,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027676,2025-10-27,2025-10-27,Global Rover Logistic Srl,"$640.500,00","$775.005,00"
A 0003-00027677,2025-10-27,2025-10-27,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00027678,2025-10-27,2025-10-27,Global Rover Logistic Srl,"$2.162.400,00","$2.616.504,00"
A 0003-00027679,2025-10-27,2025-10-27,Global Rover Logistic Srl,"$1.621.800,00","$1.962.378,00"
A 0003-00027680,2025-10-27,2025-10-27,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027688,2025-10-28,2025-10-28,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027689,2025-10-28,2025-10-28,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00027690,2025-10-28,2025-10-28,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027691,2025-10-28,2025-10-28,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027692,2025-10-28,2025-10-28,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027713,2025-10-29,2025-10-29,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027727,2025-10-30,2025-10-30,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00027732,2025-10-30,2025-10-30,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027733,2025-10-30,2025-10-30,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027734,2025-10-30,2025-10-30,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027782,2025-10-31,2025-10-31,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00027792,2025-11-03,2025-11-03,Global Rover Logistic Srl,"$573.040,00","$693.378,40"
A 0003-00027793,2025-11-03,2025-11-03,Global Rover Logistic Srl,"$573.040,00","$693.378,40"
A 0003-00027835,2025-11-05,2025-11-05,Global Rover Logistic Srl,"$1.146.080,00","$1.386.756,80"
A 0003-00027838,2025-11-05,2025-11-05,Global Rover Logistic Srl,"$573.040,00","$693.378,40"
A 0003-00027839,2025-11-05,2025-11-05,Global Rover Logistic Srl,"$573.040,00","$693.378,40"
A 0003-00027840,2025-11-05,2025-11-05,Global Rover Logistic Srl,"$2.865.200,00","$3.466.892,00"
NdC A 0003-00002075,2025-08-25,2025-08-25,Taeda Sa,"($1.324.200,00)","($1.602.282,00)"
NdC A 0003-00002098,2025-09-29,2025-09-29,Global Rover Logistic Srl,"($693.892,56)","($839.610,00)"
